[2026-01-09 12:54:23.574] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:23.636] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.061s | FAILED
[2026-01-09 12:54:25.811] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:25.875] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.064s | FAILED
[2026-01-09 12:54:27.753] [INFO    ] [PERFORMANCE] [Thread-139844802019968] DolphinX1_Setup | 0.127s | FAILED
[2026-01-09 12:54:32.853] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:32.943] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.089s | FAILED
[2026-01-09 12:54:33.350] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:33.430] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.080s | FAILED
[2026-01-09 12:54:36.388] [INFO    ] [PERFORMANCE] [Thread-139744485188224] DolphinX1_Setup | 0.124s | FAILED
[2026-01-09 12:54:39.699] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:39.778] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.078s | FAILED
[2026-01-09 12:54:41.237] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:41.302] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.064s | FAILED
[2026-01-09 12:54:45.670] [INFO    ] [PERFORMANCE] [Thread-140417415787136] DolphinX1_Setup | 0.137s | FAILED
[2026-01-09 12:54:46.349] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:46.527] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.178s | FAILED
[2026-01-09 12:54:48.923] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:48.991] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.068s | FAILED
[2026-01-09 12:54:54.578] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:54:54.781] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.203s | FAILED
[2026-01-09 12:54:54.807] [INFO    ] [PERFORMANCE] [Thread-140553767957120] DolphinX1_Setup | 0.124s | FAILED
[2026-01-09 12:54:57.159] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.001s | FAILED
[2026-01-09 12:54:57.251] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.092s | FAILED
[2026-01-09 12:55:00.853] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:55:00.916] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.062s | FAILED
[2026-01-09 12:55:03.582] [INFO    ] [PERFORMANCE] [Thread-140269718508160] DolphinX1_Setup | 0.127s | FAILED
[2026-01-09 12:55:04.970] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:55:05.084] [INFO    ] [PERFORMANCE] [Thread-140586017235584] SearchByHashtag | 0.114s | FAILED
[2026-01-09 12:55:06.618] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByKeyword | 0.000s | FAILED
[2026-01-09 12:55:06.679] [INFO    ] [PERFORMANCE] [Thread-140286231380608] SearchByHashtag | 0.061s | FAILED
